cell_type,PLEK,PPBP,PF4
neutrophil,0.8657815021374176,0.0039351130991138,0.0015853693061178
classical monocyte,0.6563043226329818,0.0126897670645497,0.0022887936029667
non-classical monocyte,0.6663515323406602,0.0184353580713779,0.0018908059560387
macrophage,0.6444507087628866,0.0103227018900343,0.0023893900343642
CD1c-positive myeloid dendritic cell,0.6925268642136112,0.0046401823510257,0.0008140670791273
"CD8-positive, alpha-beta T cell",0.1135154874375856,0.0017535676967521,0.0004049475918272
fibroblast,0.0238207291025594,0.0039640878977663,0.0070774354704412
endothelial cell of artery,0.0155437921077959,0.0076034648700673,0.0030317613089509
vein endothelial cell,0.0134912218687404,0.0022387180393543,0.0015906680805938
malignant cell,0.012821695415552,0.0144522157170219,0.0582673619212466
