score,model,donors,studies,beta,se,ci_low,ci_high,p,fdr_within_model
PLEK,study_fixed_effect_cluster_robust,381,29,0.5423289662385661,0.04204520469384975,0.45620326866544125,0.6284546638116909,2.6610092766342113e-13,1.3305046383171055e-12
PLEK,study_random_intercept,381,29,0.5225706112425035,0.04834660225644821,0.42781301204498207,0.6173282104400248,3.126032535208966e-27,1.5630162676044828e-26
PPBP,study_fixed_effect_cluster_robust,381,29,0.0663214337486754,0.03408730722035244,-0.0035032498060631745,0.13614611730341397,0.061800444023846976,0.061800444023846976
PPBP,study_random_intercept,381,29,-0.001784356383493091,0.05318877404294438,-0.10603243788950295,0.10246372512251678,0.973237897857326,0.973237897857326
PF4,study_fixed_effect_cluster_robust,381,29,-0.05805088127704948,0.014393029193086994,-0.08753366506823634,-0.02856809748586262,0.0003843276287292403,0.0004804095359115503
PF4,study_random_intercept,381,29,-0.048528939676763194,0.0565969830310512,-0.15945698805124814,0.062399108697721736,0.39119763642399097,0.4889970455299887
granule3_axis,study_fixed_effect_cluster_robust,381,29,0.3172951885749155,0.036394248072304396,0.24274495090333936,0.39184542624649166,1.8140724959541975e-09,3.0234541599236627e-09
granule3_axis,study_random_intercept,381,29,0.26654851551329806,0.05571882892752062,0.15734161755460913,0.375755413471987,1.7199983208460602e-06,2.8666638680767673e-06
PLEK_PPBP_sensitivity,study_fixed_effect_cluster_robust,381,29,0.40484540155372584,0.04450460393676521,0.31368185300688717,0.4960089501005645,7.45401281078536e-10,1.8635032026963398e-09
PLEK_PPBP_sensitivity,study_random_intercept,381,29,0.34179903095172187,0.05634392130853039,0.2313669744392434,0.4522310874642004,1.30891969030626e-09,3.27229922576565e-09
