donor_id,target,source,sections,fisher_z,se_z,rho,lag_fisher_z,lag_se_z,lag_rho,plot_label
A120838,PLEK,neutrophil_module,2,0.1289699070550817,0.0270171613479149,0.1282595704199297,0.1015306563536531,0.0270171613479149,0.1011832135423064,PLEK-neutrophil
A121573,PLEK,neutrophil_module,2,0.079822391428413,0.0147731278924229,0.0796532899016887,0.1060575914592678,0.0147731278924229,0.1056617197211068,PLEK-neutrophil
A416371,PLEK,neutrophil_module,2,0.0375768979710584,0.0155907804675008,0.0375592214701714,-0.0163816598414524,0.0155907804675008,-0.0163801946113233,PLEK-neutrophil
A551763,PLEK,neutrophil_module,2,0.1308880727304818,0.0229174624257052,0.1301457149291053,0.1711905361751414,0.0229174624257052,0.1695375953614172,PLEK-neutrophil
A595688,PLEK,neutrophil_module,2,0.1374011260083052,0.0252136452829649,0.1365429376791794,0.0751629067005098,0.0252136452829649,0.075021682486264,PLEK-neutrophil
A798015,PLEK,neutrophil_module,2,-0.0064287617362941,0.0173161795717911,-0.0064286731730419,-0.028601243286368,0.0173161795717911,-0.0285934469350851,PLEK-neutrophil
A938797,PLEK,neutrophil_module,2,0.0746046300918082,0.0161944647062815,0.0744665248055622,0.0910991316048124,0.0161944647062815,0.0908479532519937,PLEK-neutrophil
A120838,granule3_axis,neutrophil_module,2,0.0736905225048488,0.0270171613479149,0.0735574245562532,0.033978425245678,0.0270171613479149,0.0339653548729775,Three-gene axis-neutrophil
A121573,granule3_axis,neutrophil_module,2,0.1267060416813301,0.0147731278924229,0.1260323038934317,0.2088306458749613,0.0147731278924229,0.205846964606329,Three-gene axis-neutrophil
A416371,granule3_axis,neutrophil_module,2,0.0197018243900964,0.0155907804675008,0.0196992756200701,-0.0333823565209699,0.0155907804675008,-0.0333699618165442,Three-gene axis-neutrophil
A551763,granule3_axis,neutrophil_module,2,0.1044847290312258,0.0229174624257052,0.1041061601190217,0.1469068179420506,0.0229174624257052,0.145859033460094,Three-gene axis-neutrophil
A595688,granule3_axis,neutrophil_module,2,0.1208928021831249,0.0252136452829649,0.1203072727264202,0.0652389831970533,0.0252136452829649,0.0651465854089108,Three-gene axis-neutrophil
A798015,granule3_axis,neutrophil_module,2,-0.0181425299241849,0.0173161795717911,-0.0181405396398998,-0.0300546647824985,0.0173161795717911,-0.0300456187629244,Three-gene axis-neutrophil
A938797,granule3_axis,neutrophil_module,2,0.0439491008613664,0.0161944647062815,0.0439208264663464,0.0652525386326774,0.0161944647062815,0.0651600833022936,Three-gene axis-neutrophil
