"analysis","scale","k","estimate","ci_low","ci_high","p_mkh","tau2","I2","prediction_low","prediction_high","df","variance_multiplier","primary_fdr_mkh"
"three_gene_axis__8_gene_myeloid_neutrophil_module","correlation",5,0.399881949247616,0.229650423031354,0.546373217941242,0.00344412683111466,0.0137286188669084,0.6631607226693,0.046896465278807,0.664084797515259,4,1.09201346749276,0.00688825366222933
"identity_adhesion_10__endothelial_module","correlation",5,-0.156589063684571,-0.411206942407521,0.120695482593009,0.191451265243282,0.0382138231302264,0.819435320201565,-0.645898200571399,0.423912763936802,4,1.0834698269104,0.191451265243282
"PLEK__8_gene_myeloid_neutrophil_module","correlation",5,0.692958162941649,0.346156785881628,0.873148148233072,0.00857441974753109,0.144639420688919,0.937038623204784,-0.30182787449929,0.96533053019793,4,1.02438666235457,NA
"PPBP__8_gene_myeloid_neutrophil_module","correlation",5,0.289749340760626,0.209070059500728,0.366510834058003,0.000652915688431075,5.77792074869985e-13,0,0.209070059475991,0.366510834080396,4,1,NA
"PF4__8_gene_myeloid_neutrophil_module","correlation",5,-0.00370911080487712,-0.0895624038849172,0.0821988960122272,0.910554580891584,5.77792074869985e-13,0,-0.0895624039105768,0.0821988960379195,4,1,NA
"without_PF4__8_gene_myeloid_neutrophil_module","correlation",5,0.508596455239367,0.316105064913644,0.660869346419601,0.00262840874950926,0.0271557220662719,0.792981866215548,0.0471209785683098,0.791155608728974,4,1,NA
"without_PLEK__8_gene_myeloid_neutrophil_module","correlation",5,0.200094940853032,0.116210133254505,0.281145415091711,0.00282313984583254,5.77792074869985e-13,0,0.116210133228987,0.281145415115533,4,1,NA
"without_PPBP__8_gene_myeloid_neutrophil_module","correlation",5,0.421293955007091,0.197335965900643,0.603458848614256,0.00747277978012371,0.0275802337428988,0.769478297769582,-0.0747709399968888,0.75021166985456,4,1.12588123271631,NA
"PLEK__8_gene_MNDA_sensitivity","correlation",5,0.692958163033974,0.346156786194635,0.873148148232978,0.0085744197304136,0.144639416377724,0.937038623204785,-0.301827861307265,0.965330529233175,4,1.02438669040844,NA
"PLEK__7_gene_MNDA_sensitivity","correlation",5,0.687496445365628,0.398515569652476,0.852300649734475,0.00513445025804191,0.103112047681581,0.918883851001694,-0.141923975078265,0.949755004659964,4,1.0279679198641,NA
"platelet_total_state_13__OS_univariable","hazard_ratio",5,1.00623613862631,0.873597772969942,1.15901298973712,0.9087006731241,5.77792074869985e-13,0,0.873597772956178,1.15901298975538,4,1,NA
"platelet_total_state_13__OS_stage_adjusted","hazard_ratio",5,1.00013462226148,0.870659715432107,1.1488636087288,0.997978131292039,5.77792074869985e-13,0,0.870659715418121,1.14886360874725,4,1,NA
"endothelial_control__OS_univariable","hazard_ratio",5,1.14991306552807,1.00171688507262,1.3200337120965,0.0482695101375401,5.77792074869985e-13,0,1.00171688505645,1.32003371211781,4,1,NA
"three_gene_axis__jointly_adjusted_myeloid_neutrophil_beta","identity",5,0.529324636870662,0.380425918710373,0.678223355030951,0.000591179715491329,5.77792074869985e-13,0.24950193619352,0.380425918695416,0.678223355045908,4,1.33244847415192,NA
"identity_adhesion_10__jointly_adjusted_endothelial_beta","identity",5,-0.140051779349827,-0.351671454143583,0.07156789544393,0.14000771383205,0.0154106711408408,0.595920406538474,-0.544499943053993,0.26439638435434,4,1,NA
"platelet_total_state_13__OS_univariable__exclude_GSE41258","hazard_ratio",4,1.01847541857569,0.84574492395879,1.22648348084376,0.774440209599284,5.77792074869985e-13,0,0.845744923945475,1.22648348086307,3,1,NA
"platelet_total_state_13__OS_stage_adjusted__exclude_GSE41258","hazard_ratio",4,1.03507366129413,0.855698964865424,1.25204952710598,0.604706809116332,5.77792074869985e-13,0,0.855698964852268,1.25204952712523,3,1,NA
